"Código","Nombre oficial","Autor"
"66.02.19","Rhamno catharticae-Crataegetum laevigatae","Arnaiz & Loidi 1983"
"66.02.20","Rubo ulmifolii-Clematidetum rectae","Vigo 1996"
"66.03","Lonicero-Berberidion hispanicae","O. Bolòs 1954"
"66.03.01","Berberido hispanicae-Crataegetum laciniatae","Ríos & Alcaraz in Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"66.03.02","Crataego monogynae-Loniceretum arboreae","O. Bolòs 1954"
"66.03.03","Jasmino fruticantis-Berberidetum australis","Esteso 1992"
"66.03.04","Lonicero arboreae-Rhamnetum catharticae","Martínez-Parras & Molero 1983"
"66.03.05","Lonicero splendidae-Berberidetum hispanicae","Asensi & Rivas-Martínez 1979"
"66.03.06","Lonicero splendidae-Buxetum sempervirentis","Gómez-Mercado & F. Valle 1992"
"66.03.07","Pruno mahalebo-Berberidetum hispanicae","Asensi & Rivas-Martínez 1979"
"66.03.08","Rosetum myriacantho-siculae","Ríos, P. Sánchez & Alcaraz in Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"66.03.09","Viburno lantanae-Berberidetum australis","F. Valle, Gómez-Mercado & Mota 1988"
"66.04","Frangulo alni-Pyrion cordatae","Herrera, F. Prieto & Loidi 1991"
"66.04.01","Frangulo alni-Pyretum cordatae","Herrera, F. Prieto & Loidi 1991"
"66.05","Sambuco-Salicion capreae","Tüxen & Neumann ex Oberdorfer 1957"
"66.05.01","Sambuco racemosae-Prunetum padi","Rivas-Martínez, Costa & P. Soriano 2002"
"66.05.02","Sambuco racemosae-Rubetum idaei","O. Bolòs 1979"
"66.06","Pruno-Rubion radulae","Weber 1974"
"66.06.01","Lamio maculati-Rubetum","O. Bolòs 1957"
"67","Lonicero-Rubetea plicati","Haveman, Schaminée & Stortfelder in Stortfelder, Schaminée & Hommel 1999"
"68","Alnetea glutinosae","Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946"
"68.01","Alnion glutinosae","Malcuit 1929"
"68.01.01","Carici lusitanicae-Alnetum glutinosae","T.E. Díaz & F. Prieto 1994"
"68.01.02","Carici lusitanicae-Salicetum atrocinereae","Neto, Capelo, J.C. Costa & Lousã 1996"
"69","Betulo carpaticae-Alnetea viridis","Rejmánek in Huml, Leps, Prach & Rejmánek 1979"
"69.01","Salicion pentandrae","Br.-Bl. 1950"
"69.01.01","Veratro albi-Salicetum basalticae","O. Bolòs 1984"
"70","Nerio-Tamaricetea","Br.-Bl. & O. Bolòs 1958"
"70.01","Tamaricion africanae","Br.-Bl. & O. Bolòs 1958"
"70.01.01","Lonicero biflorae-Populetum albae","Alcaraz, Ríos & P. Sánchez in Alcaraz, T.E. Díaz, Rivas-Martínez & P. Sánchez 1989"
"70.01.02","Polygono equisetiformis-Tamaricetum africanae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"70.01.03","Tamaricetum gallicae","Br.-Bl. & O. Bolòs 1958"
"70.02","Imperato cylindricae-Erianthion ravennae","Br.-Bl. & O. Bolòs 1958"
"70.02.01","Equiseto ramosissimi-Erianthetum ravennae","Br.-Bl. & O. Bolòs 1958"
"70.02.02","Equiseto ramosissimi-Imperatetum cylindricae","Ron in Bellot, Ron & Carballal 1979"
"70.02.03","Eriantho ravennae-Holoschoenetum australis","O. Bolòs 1962"
"70.03","Tamaricion boveano-canariensis","Izco, Fernández-González & A. Molina 1984"
"70.03.01","Agrostio stoloniferae-Tamaricetum canariensis","Cirujano 1981"
"70.03.02","Atriplici ifniensis-Tamaricetum canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"70.03.03","Inulo crithmoidis-Tamaricetum boveanae","Izco, Fernández-González & A. Molina 1984"
"70.03.04","Suaedo braun-blanquetii-Tamaricetum boveanae","(Izco, Fernández-González & A. Molina 1984) Fernández-González, A. Molina & Loidi 1990"
"70.03.05","Suaedo verae-Tamaricetum canariensis","O. Rodríguez, García Gallo & Reyes 2001"
"70.04","Rubo ulmifolii-Nerion oleandri","O. Bolòs 1985"
"70.04.01","Erico erigenae-Nerietum oleandri","Rivas Goday & Esteve 1972"
"70.04.02","Leucoio pulchelli-Viticetum agni-casti","O. Bolòs & Molinier 1958"
"70.04.03","Rubo ulmifolii-Loniceretum biflorae","Alcaraz, Ríos & P. Sánchez 1987"
"70.04.04","Rubo ulmifolii-Nerietum oleandri","O. Bolòs 1956"
"70.04.05","Vinco-Viticetum agni-casti","O. Bolòs 1956"
"70.04.06","Zizipho loti-Nerietum oleandri","Rivas-Martínez ex Esteve 1973"
"71","Salici purpureae-Populetea nigrae","(Rivas-Martínez & Cantó ex Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi) Rivas-Martínez & Cantó 2002"
"71.01","Alnion incanae","Pawlowski in Pawlowski, Sokolowski & Wallisch 1928"
"71.01.01","Alno glutinosae-Equisetetum hyemalis","O. Bolòs 1957"
"71.01.02","Alno glutinosae-Lamietum flexuosi","(O. Bolòs in Oberdorfer 1953) O. Bolòs 1954"
"71.01.03","Carici pendulae-Alnetum glutinosae","O. Bolòs & Oberdorfer in Oberdorfer 1953"
"71.01.04","Carici pendulae-Fraxinetum excelsioris","Biurrun & García-Mijangos 2002"
"71.01.05","Euphorbio hybernae-Fraxinetum excelsioris","L. Herreros, M.E. García T.E. Díaz, Penas & F. Salegui 2002"
"71.01.06","Festuco giganteae-Fraxinetum excelsioris","F. Prieto & Bueno in T.E. Díaz & F. Prieto 1994"
"71.01.07","Hyperico androsaemi-Alnetum glutinosae","(Br.-Bl. 1967) Rivas-Martínez in Loidi 1983"
"71.01.08","Lathraeo clandestinae-Populetum nigrae","O. Bolòs & P. Montserrat 1984"
"71.01.09","Valeriano pyrenaicae-Alnetum glutinosae","Amigo, J. Guitián & F. Prieto 1987"
"71.02","Populion albae","Br.-Bl. ex Tchou 1948"
"71.02.01","Carici pendulae-Salicetum catalaunicae","A. & O. Bolòs 1950"
"71.02.02","Crataego brevispinae-Populetum albae","Galán in A.V. Pérez, Galán, Deil & Cabezudo 1996"
"71.02.03","Humulo lupuli-Alnetum glutinosae","Biurrun, García-Mijangos & Loidi 1994"
"71.02.04","Nerio oleandri-Populetum albae","A. García & Cano in A. García, Torres, P. Gomes, Leite, Salazar, Melendo, J. Nieto & Cano 1998"
"71.02.05","Populetum albae","Br.-Bl. ex Tchou 1948"
"71.02.06","Rubio tinctorum-Populetum albae","Br.-Bl. & O. Bolòs 1958"
"71.02.07","Salici atrocinereae-Populetum albae","Rivas Goday 1964"
"71.02.08","Salici neotrichae-Populetum nigrae","T.E. Díaz & Penas ex Rivas-Martínez, & Cantó 2002"
"71.02.09","Vinco-Populetum albae","(O. Bolòs & Molinier 1958) O. Bolòs 1962"
"71.02.10","Aceri granatensis-Fraxinetum angustifoliae","Molero & Pérez-Raya in J.M. Losa, Molero, Casares & Pérez-Raya 1986"
"71.02.11","Aro cylindracei-Ulmetum minoris","T.E. Díaz, Andrés, Llamas, L. Herrero & D. Fernández 1987"
"71.02.12","Ficario ranunculoidis-Fraxinetum angustifoliae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"71.02.13","Fraxino angustifoliae-Quercetum pyrenaicae","Rivas Goday 1964 corr. Rivas-Martínez, Fernández-González & A. Molina in Fernández-González & A. Molina 1988"
"71.02.14","Hedero helicis-Ulmetum minoris","O. Bolòs 1979"
"71.02.15","Opopanaco chironii-Ulmetum minoris","Bellot & Ron in Bellot, Ron & Carballal 1979"
"71.02.16","Pulmonario longifoliae-Quercetum pyrenaicae","Oberdorfer & Tüxen in Tüxen & Oberdorfer 1958"
"71.02.17","Ulmo carpinifoliae-Lithospermetum purpureocaerulei","O. Bolòs 1956"
"71.02.18","Viburno lantanae-Ulmetum minoris","Biurrun & García-Mijangos 2002"
"71.03","Osmundo-Alnion","(Br.-Bl., P. Silva & Rozeira 1956) Dierschke & Rivas-Martínez in Rivas-Martínez 1975"
"71.03.01","Arisaro proboscidei-Alnetum glutinosae","Martínez-Parras & Peinado 1987"
"71.03.02","Frangulo alni-Myricetum gale","Peinado & A. Velasco in Peinado, Moreno & A. Velasco 1983"
"71.03.03","Galio broteriani-Alnetum glutinosae","Rivas-Martínez, Fuente & Sánchez-Mata 1986"
"71.03.04","Galio broteriani-Betuletum parvibracteatae","Peinado & A. Velasco in Peinado, Moreno & A. Velasco 1983"
"71.03.05","Osmundo regalis-Fraxinetum angustifoliae","A. Velasco, Marcos & Pajarón 1986"
"71.03.06","Rhododendro baetici-Alnetum glutinosae","(Rivas Goday & Rivas-Martínez in Rivas-Martínez 1965) Rivas-Martínez & Sánchez-Mata 2001"
"71.03.07","Rubo corylifolii-Salicetum atrocinereae","Rivas-Martínez 1965"
"71.03.08","Scrophulario scorodoniae-Alnetum glutinosae","Br.-Bl., P. Silva & Rozeira 1956"
"71.03.09","Senecioni bayonensis-Alnetum glutinosae","Amigo, J. Guitián & F. Prieto 1987"
"71.03.10","Viti viniferae-Salicetum atrocinereae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"71.04","Salicion albae","Soó 1930"
"71.04.01","Salicetum purpureo-albae","Rivas Goday & Borja 1961"
"71.04.02","Salicetum angustifolio-albae","T.E. Díaz & F. Prieto 1994"
"71.05","Salicion incanae","Aichinger 1933"
"71.05.01","Agrostio stoloniferae-Myricarietum germanicae","Romo 1989"
"71.05.02","Salicetum cantabricae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"71.05.03","Saponario-Salicetum purpureae","Tchou 1948"
"71.06","Salicion triandro-neotrichae","Br.-Bl. & O. Bolòs 1958"
"71.06.01","Salicetum discoloro-angustifoliae","Rivas-Martínez ex G. López 1976 corr. Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"71.06.02","Salicetum neotrichae","Br.-Bl. & O. Bolòs 1958"
"71.07","Securinegion buxifoliae","Rivas Goday 1964"
"71.07.01","Pyro bourgaeanae-Securinegetum tinctoriae","(Rivas Goday 1964) Rivas-Martínez & Rivas Goday 1975"
"71.08","Salicion salviifoliae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"71.08.01","Salicetum angustifolio-salviifoliae","T.E. Díaz & Penas 1987"
"71.08.02","Salicetum salviifoliae","Oberdorfer & Tüxen in Tüxen & Oberdorfer 1958"
"71.08.03","Salicetum atrocinereo-australis","J.C. Costa & Lousã in J.C. Costa, Lousã & Paes 1998"
"71.09","Salicion pedicellatae","Galán, A.V. Pérez & Cabezudo in A.V. Pérez, Galán, P. Navas, D. Navas, Y. Gil & Cabezudo 1999"
"71.09.01","Equiseto telmateiae-Salicetum pedicellatae","Díez-Garretas, Cuenca & Asensi 1988"
"71.09.02","Erico mediterraneae-Salicetum pedicellatae","Esteve 1973"
"71.09.03","Nerio oleandri-Salicetum pedicellatae","Cano & F. Valle 1990"
"72","Erico-Pinetea","Horvat 1959 (*)"
"73","Lauro azoricae-Juniperetea brevifoliae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"73.01","Culcito macrocarpae-Juniperion brevifoliae","Sjögren ex Lüpnitz 1975"
"73.01.01","Cerastio vulgare-Juniperetum brevifoliae","Lüpnitz 1975"
"73.01.02","Daphno-Ericetum azoricae","Lüpnitz 1975"
"73.01.03","Festuco petraeae-Corematetum azoricae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"73.01.04","Pteridio aquilini-Ericetum azoricae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"73.02","Myrico fayae-Pittosporion undulati","Lüpnitz 1976"
"73.02.01","Carici hochstetterianae-Picconietum azoricae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"73.02.02","Hedychio gardneriani-Pittosporetum undulati","Lüpnitz 1976"
"73.03","Dryopterido azoricae-Laurion azoricae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"73.03.01","Dryopterido azoricae-Lauretum azoricae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"73.03.02","Woodwardio radicantis-Prunetum azoricae","Rivas-Martínez, Lousã, F. Prieto, J.C. Costa, Díaz & Aguiar 2002"
"74","Pino-Juniperetea","Rivas-Martínez 1965"
"74.01","Pino ibericae-Juniperion sabinae","Rivas Goday ex Rivas Goday & Borja 1961 corr. Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999"
"74.01.01","Daphno hispanicae-Pinetum nevadensis","Rivas-Martínez 1965"
"74.01.02","Junipero phoeniceae-Pinetum clusianae","F. Valle, Mota & Gómez-Mercado 1989"
"74.01.03","Junipero sabinae-Pinetum clusianae","Rivas-Martínez, Gómez-Mercado & F. Valle 2002"
"74.01.04","Junipero sabinae-Pinetum ibericae","Rivas Goday & Borja 1961"
"74.01.05","Ononido aragonensis-Pinetum ibericae","(Rivas Goday & Borja 1961) Rivas-Martínez 1969"
"74.02","Juniperion thuriferae","Rivas-Martínez 1969"
"74.02.01","Juniperetum hemisphaerico-thuriferae","Rivas-Martínez 1969"
"74.02.02","Juniperetum phoeniceo-thuriferae","(Br.-Bl. & O. Bolòs 1958) Rivas-Martínez 1987"
"74.02.03","Juniperetum sabino-thuriferae","Rivas-Martínez, Izco & Costa 1971"
"74.03","Junipero intermediae-Pinion catalaunici","Rivas-Martínez 1983 corr. Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999"
"74.03.01","Hylocomio splendentis-Pinetum catalaunicae","Vigo 1968"
"74.03.02","Pinetum uncinato-pyrenaicae","Rivas-Martínez, Costa, J.A. Molina & P. Soriano 2002"
"74.03.03","Veronico officinalis-Pinetum sylvestris","Rivas-Martínez 1968"
"74.03.04","Arctostaphylo crassifoliae-Pinetum catalaunicae","O. Bolòs 1967"
"74.03.05","Echinosparto horridi-Pinetum pyrenaicae","Rivas-Martínez 1987"
"74.03.06","Festuco gautieri-Pinetum salzmannii","Roselló 1994"
"74.03.07","Lonicero xylostei-Pinetum salzmannii","Gamisans & Gruber 1988"
"74.03.08","Polygalo calcareae-Pinetum sylvestris","(Vigo 1974) Rivas-Martínez 1983"
"74.04","Avenello ibericae-Pinion ibericae","Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999"
"74.04.01","Avenello ibericae-Pinetum ibericae","Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999"
"74.04.02","Avenello ibericae-Pinetum uncinatae","(Rivas-Martínez & Tarazona in Rivas-Martínez, G. Navarro, Mendiola & Tarazona 1987) Rivas-Martínez & J.A. Molina 2002"
"74.04.03","Calluno-Pinetum ibericae","(Vigo 1968) Rivas-Martínez & J.A. Molina 2002"
"74.04.04","Galio rotundifolii-Pinetum ibericae","Rivas-Martínez & J.A. Molina in Loidi, Biurrun & Herrera 1997"
"74.04.05","Pteridio aquilini-Pinetum ibericae","Rivas-Martínez & J.A. Molina 2002"
"74.04.06","Vaccinio myrtilli-Pinetum ibericae","Rivas-Martínez & J.A. Molina 2002"
"74.05","Cytision oromediterranei","Tüxen in Tüxen & Oberdorfer 1958 corr. Rivas-Martínez 1987"
"74.05.01","Avenello ibericae-Juniperetum alpinae","Rivas-Martínez, Fernández-González, Sánchez-Mata & Sardinero 2002"
"74.05.02","Cytiso oromediterranei-Echinospartetum barnadesii","Rivas-Martínez 1964 corr. Rivas-Martínez, Belmonte, Cantó, Fernández-González, Fuente, J.M. Moreno, Sánchez-Mata & Sancho 1987"
"74.05.03","Cytiso oromediterranei-Echinospartetum pulviniformis","Rivas-Martínez, Belmonte, Cantó, Fernández-González, Fuente, J.M. Moreno, Sánchez-Mata & Sancho 1987"
"74.05.04","Festuco graniticolae-Echinospartetum pulviniformis","Costa-Ten., Morla & Sainz 1993"
"74.05.05","Genisto sanabrensis-Juniperetum nanae","F. Prieto 1983"
"74.05.06","Lycopodio clavati-Juniperetum nanae","Br.-Bl., P. Silva & Rozeira in Rivas-Martínez 1974"
"74.05.07","Senecioni carpetani-Cytisetum oromediterranei","Tüxen & Oberdorfer 1958 corr. Rivas-Martínez 1987"
"74.05.08","Teucrio salviastri-Echinospartetum pulviniformis","Rivas-Martínez 1974 corr. 1981"
"74.05.09","Vaccinio myrtilli-Juniperetum nanae","Rivas-Martínez 1965"
"74.06","Genisto versicoloris-Juniperion hemisphaericae","Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999"
"74.06.01","Genisto versicoloris-Juniperetum hemisphaericae","Quézel 1953 corr. Rivas-Martínez, Fernández-González & Loidi 1999"
"74.07","Pruno prostratae-Juniperion sabinae","Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999"
"74.07.01","Abieti pinsapo-Juniperetum sabinae","A.V. Pérez & Cabezudo in A.V. Pérez, P. & D. Navas, Gil & Cabezudo 1998"
"74.07.02","Sabino-Berberidetum hispanicae","Rivas Goday & Borja 1961"
"74.07.03","Ephedro nebrodensis-Juniperetum sabinae","Rivas-Martínez & G. Navarro in G. Navarro 1989"
"75","Quercetea ilicis","Br.-Bl. ex A. & O. Bolòs 1950"
"75.01","Quercion ilicis","Br.-Bl. ex Molinier 1934 em. Rivas-Martínez 1975"
"75.01.01","Asplenio onopteridis-Quercetum ilicis","(Br.-Bl. 1936) Rivas-Martínez 1975"
"75.01.02","Carici depressae-Quercetum suberis","Rivas-Martínez 1987"
"75.01.03","Cyclamini balearicae-Quercetum ilicis","(O. Bolòs & Molinier 1958) O. Bolòs 1965"
"75.01.04","Lauro nobilis-Quercetum ilicis","(Br.-Bl. 1967) Rivas-Martínez 1975"
"75.01.05","Viburno tini-Quercetum ilicis","(Br.-Bl. ex Molinier 1934) Rivas-Martínez 1975"
"75.01.06","Asparago acutifolii-Quercetum rotundifoliae","Rivas-Martínez, Cantó, Fernández-González & Sánchez-Mata 2002"
"75.01.07","Asplenio adianti-nigri-Quercetum rotundifoliae","(Carreras, Carrillo, Ninot & Vigo 1997) Rivas-Martínez 2002"
"75.01.08","Asplenio onopteridis-Quercetum suberis","Costa, Peris & Figuerola in Costa, Peris, Figuerola & Stübing 1985"
"75.01.09","Buxo sempervirentis-Quercetum rotundifoliae","Gruber 1974"
"75.01.10","Cephalanthero longifoliae-Quercetum rotundifoliae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"75.01.11","Genisto falcatae-Quercetum rotundifoliae","(Bellot 1951) Br.-Bl. 1967 corr. Izco & Fernández-González 1993"
"75.01.12","Hedero helicis-Quercetum rotundifoliae","Costa, Peris & Stübing 1987"
"75.01.13","Junipero thuriferae-Quercetum rotundifoliae","Rivas-Martínez 1987"
"75.01.14","Quercetum rotundifoliae","Br.-Bl. & O. Bolòs in Vives 1956"
"75.01.15","Spiraeo obovatae-Quercetum rotundifoliae","Rivas Goday ex Loidi & F. Prieto 1986"
"75.01.16","Teucrio scorodoniae-Quercetum rotundifoliae","Rivas-Martínez in Loidi, Biurrun & Herrera 1997"
"75.02","Quercion broteroi","Br.-Bl., P. Silva & Rozeira 1956 em. Rivas-Martínez 1975 corr. Ladero 1974"
"75.02.01","Adenocarpo decorticantis-Quercetum suberis","Martínez-Parras, Peinado & Alcaraz 1987"
"75.02.02","Arisaro-Quercetum broteroi","Br.-Bl., P. Silva & Rozeira 1956 corr. Rivas-Martínez 1975"
"75.02.03","Euphorbio monchiquensis-Quercetum canariensis","Malato-Beliz in Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"75.02.04","Junipero lagunae-Quercetum suberis","Rivas-Martínez, Aguiar, Cantó & Ladero 2002"
"75.02.05","Physospermo cornubiensis-Quercetum suberis","Rivas-Martínez 1987"
"75.02.06","Pistacio terebinthi-Quercetum broteroi","Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960"
"75.02.07","Poterio agrimonioidis-Quercetum suberis","Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960"
"75.02.08","Adenocarpo decorticantis-Quercetum rotundifoliae","Rivas-Martínez 1987"
"75.02.09","Berberido hispanicae-Quercetum rotundifoliae","Rivas-Martínez 1987"
"75.02.10","Festuco elegantis-Juniperetum oxycedri","(Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989) Sánchez-Mata 1999"
"75.02.11","Genisto hystricis-Quercetum rotundifoliae","P. Silva 1970"
"75.02.12","Junipero oxycedri-Quercetum rotundifoliae","Rivas-Martínez 1965"
"75.02.13","Lonicero implexae-Quercetum rotundifoliae","Lousã, Espírito-Santo & J.C. Costa 1994"
"75.02.14","Paeonio coriaceae-Quercetum rotundifoliae","Rivas-Martínez 1965"
"75.02.15","Pyro bourgaeanae-Quercetum rotundifoliae","Rivas-Martínez 1987"
"75.03","Querco rotundifoliae-Oleion sylvestris","Barbéro, Quézel & Rivas-Martínez in Rivas-Martínez, Costa & Izco 1986"
"75.03.01","Aro italici-Oleetum sylvestris","Rivas-Martínez & Cantó 2002"
"75.03.02","Asparago aphylli-Quercetum suberis","J.C. Costa, Capelo, Lousã & Espírito-Santo 1996"
"75.03.03","Clematido cirrhosae-Quercetum rotundifoliae","(O. Bolòs & Molinier 1958) Rivas-Martínez & Costa 1987"
"75.03.04","Myrto communis-Quercetum rotundifoliae","Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960"
"75.03.05","Oleo sylvestris-Quercetum broteroi","Galán, A.V. Pérez & Cabezudo in A.V. Pérez, Galán, P. Navas, D. Navas, Y. Gil & Cabezudo 1999"
"75.03.06","Oleo sylvestris-Quercetum suberis","Rivas Goday, Galiano & Rivas-Martínez ex Rivas-Martínez 1987"
"75.03.07","Rhamno oleoidis-Quercetum rotundifoliae","Rivas-Martínez 2002"
"75.03.08","Rubio longifoliae-Quercetum rotundifoliae","Costa, Peris & Figuerola 1983"
"75.03.09","Rusco hypophylli-Quercetum canariensis","Rivas-Martínez 1975"
"75.03.10","Teucrio baetici-Quercetum suberis","Rivas-Martínez ex Díez-Garretas, Cuenca & Asensi 1988"
"75.03.11","Viburno tini-Oleetum sylvestris","J.C. Costa, Capelo & Lousã 1994"
"75.03.12","Viburno tini-Quercetum rivasmartinezii","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990 corr. Capelo & J.C. Costa 2001"
"75.03.13","Viburno tini-Fraxinetum orni","Costa, Pérez-Badia & P. Soriano 1995"
"75.03.14","Vinco difformis-Ceratonietum siliquae","(Martín, Díez-Garretas & Asensi 1992) Rivas-Martínez 2002"
"75.04","Genisto spartioidis-Phlomidion almeriensis","Rivas Goday & Rivas-Martínez 1969"
"75.04.01","Bupleuro gibraltarici-Ononidetum speciosae","Rivas Goday & Rivas-Martínez 1969"
"75.04.02","Coridothymo capitati-Genistetum haenseleri","Rivas Goday & Rivas-Martínez 1969"
"75.04.03","Lavandulo dentatae-Genistetum retamoidis","Rivas Goday & Rivas-Martínez 1969"
"75.04.04","Phlomido almeriensis-Ulicetum canescentis","Rivas Goday & Rivas-Martínez 1969 corr. Peinado, Alcaraz, Martínez-Parras & Cruz 1988"
"75.04.05","Rhamno lycioidis-Genistetum murcicae","Peinado, Alcaraz & Martínez-Parras 1992"
"75.04.06","Thymelaeo valentinae-Genistetum ramosissimae","Rivas Goday & Rivas-Martínez 1969"
"75.04.07","Ulici-Genistetum speciosae","Rivas Goday & Rivas-Martínez 1969"
"75.05","Asparago albi-Rhamnion oleoidis","Rivas Goday ex Rivas-Martínez 1975"
"75.05.01","Ampelodesmo mauritanicae-Chamaeropetum humilis","Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936"
"75.05.02","Asparago albi-Rhamnetum oleoidis","Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960"
"75.05.03","Asparago albi-Quercetum cocciferae","Rivas-Martínez 2002"
"75.05.04","Asparago aphylli-Calicotometum villosae","Rivas-Martínez 1975"
"75.05.05","Asparago aphylli-Myrtetum communis","Rivas-Martínez, Cantó, Fernández-González & Sánchez-Mata ex J.C. Costa, Lousã & Espírito-Santo 1997"
"75.05.06","Asparago horridi-Juniperetum turbinatae","Díez-Garretas, Asensi & Martín 1996"
"75.05.07","Bupleuro gibraltarici-Pistacietum lentisci","Martínez-Parras, Peinado & Alcaraz 1986"
"75.05.08","Buxo sempervirentis-Ruscetum hypophylli","O. Bolòs 1958"
"75.05.09","Chamaeropo humilis-Juniperetum phoeniceae","Rivas-Martínez in Alcaraz, T.E. Díaz, Rivas-Martínez & P. Sánchez 1989"
"75.05.10","Chamaeropo humilis-Rhamnetum lycioidis","O. Bolòs 1957"
"75.05.11","Cneoro tricocci-Buxetum balearicae","Rivas Goday & Rivas-Martínez 1969"
"75.05.12","Melico arrectae-Quercetum cocciferae","Br.-Bl., P. Silva & Rozeira 1956"
"75.05.13","Phillyreo angustifoliae-Rhamnetum angustifoliae","Costa & Mansanet 1981"
"75.05.14","Phlomido purpureae-Juniperetum turbinatae","Capelo, Lousã & J.C. Costa 1994"
"75.05.15","Quercetum coccifero-airensis","Espírito-Santo in Espírito-Santo, Lousã & J.C. Costa & Capelo 1994"
"75.05.16","Querco cocciferae-Juniperetum turbinatae","(Rivas-Martínez 1975) Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"75.05.17","Querco cocciferae-Lentiscetum","Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936"
"75.05.18","Teucrio-Hippocrepidetum valentinae","O. Bolòs 1956"
"75.06","Oleo-Ceratonion siliquae","Br.-Bl. ex Guinochet & Drouineau 1944 em. Rivas-Martínez 1975"
"75.06.01","Ampelodesmo mauritanicae-Arbutetum unedonis","Llorens, Gil & Tébar 2002"
"75.06.02","Aro picti-Phillyreetum rodriguezii","O. Bolòs, Molinier & P. Montserrat 1970"
"75.06.03","Buxo balearicae-Genistetum majoricae","Rivas-Martínez in Rivas-Martínez, Costa, P. Soriano, Pérez-Badia, Llorens & Roselló 1992"
"75.06.04","Calicotomo-Myrtetum","Guinochet in Guinochet & Drouineau 1944 em. O. Bolòs 1962"
"75.06.05","Clematido balearicae-Myrtetum communis","O. Bolòs & Molinier in O. Bolòs, Molinier & P. Montserrat 1970"
"75.06.06","Cneoro tricocci-Ceratonietum siliquae","O. Bolòs in O. Bolòs & Molinier 1958"
"75.06.07","Cneoro tricocci-Rhamnetum bourgeani","Tébar & Llorens 1995"
"75.06.08","Cneoro tricocci-Pistacietum lentisci","O. Bolòs & Molinier (1969) 1984"
"75.06.09","Euphorbietum dendroidis","Guinochet in Guinochet & Drouineau 1944"
"75.06.10","Myrto communis-Juniperetum oxycedri","Franquesa 1995"
"75.06.11","Myrto communis-Pistacietum lentisci","(Molinier 1954) Rivas-Martínez 1975"
"75.06.12","Prasio majoris-Oleetum sylvestris","O. Bolòs & Molinier 1969"
"75.06.13","Rhamno ludovici-salvatoris-Juniperetum turbinatae","(Camarasa, Cardona, Masalles, Terradas, E. Velasco & Vigo 1976) Gil, Llorens, Tébar & Costa 1995"
"75.06.14","Smilaco balearicae-Ampelodesmetum mauritanicae","Rivas-Martínez in Rivas-Martínez, Costa, P. Soriano, Pérez-Badia, Llorens & Roselló 1992"
"75.07","Rhamno lycioidis-Quercion cocciferae","Rivas Goday ex Rivas-Martínez 1975"
