"Código","Nombre oficial","Autor"
"11.04.01","Myosotidetum stoloniferae","Br.-Bl., P. Silva, Rozeira & Fontes 1952"
"11.04.02","Sedetum campanulati","Rivas-Martínez, Fernández-González, Sánchez-Mata & Sardinero 2002"
"11.04.03","Sedo melanantheri-Saxifragetum gredensis","Martínez-Parras, Peinado & Alcaraz 1987"
"11.04.04","Stellario alsines-Saxifragetum alpigenae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"11.05","Ranunculion omiophyllo-hederacei","Rivas-Martínez, Fernández-González, Pizarro, Sánchez-Mata & Sardinero 2002"
"11.05.01","Montio amporitanae-Ranunculetum hederacei","Rivas-Martínez, Fernández-González, Pizarro, Sánchez-Mata & Sardinero 2002"
"11.05.02","Myosotido stoloniferae-Ranunculetum omiophylli","Rivas-Martínez, Fernández-González, Pizarro, Sánchez-Mata & Sardinero 2002"
"11.05.03","Ranunculetum omiophylli","Br.-Bl. & Tüxen ex Pizarro 1995"
"12","Phragmito-Magnocaricetea","Klika in Klika & Novák 1941"
"12.01","Phragmition communis","Koch 1926"
"12.01.01","Scirpo lacustris-Phragmitetum","Koch 1926"
"12.01.02","Typhetum latifoliae","Lang 1973"
"12.01.03","Typho angustifoliae-Phragmitetum australis","(Tüxen & Preising 1942) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"12.01.04","Typho domingensis-Phragmitetum maximi","Costa, Boira, Peris & Stübing 1986"
"12.01.05","Typho-Schoenoplectetum glauci","Br.-Bl. & O. Bolòs 1958"
"12.01.06","Bolboschoenetum maritimi","Eggler 1933"
"12.01.07","Cypero alopecuroidis-Scirpetum maritimi","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"12.02","Glycerio-Sparganion","Br.-Bl. & Sissingh in Boer 1942"
"12.02.01","Alismato plantaginis-aquaticae-Sparganietum microcarpi","J.A. Molina 1996"
"12.02.02","Rorippo microphyllae-Sparganietum erecti","J.A. Molina 1996"
"12.02.03","Acrocladio cuspidati-Eleocharitetum palustris","O. Bolòs & Vigo in O. Bolòs 1967"
"12.02.04","Caro verticillati-Glycerietum fluitantis","J.A. Molina 1996"
"12.02.05","Catabroso-Glycerietum plicatae","Br.-Bl. 1949"
"12.02.06","Glycerietum fluitantis","Wilzek 1935"
"12.02.07","Glycerio declinatae-Alopecuretum aequalis","Rivas-Martínez, Fernández-González, Sánchez-Mata & Sardinero 2002"
"12.02.08","Glycerio declinatae-Eleocharitetum palustris","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"12.02.09","Glycerio spicatae-Eleocharitetum vulgaris","J.A. Molina, Galán & Sardinero in J.A. Molina 1996"
"12.02.10","Oenantho globulosae-Eleocharitetum palustris","O. Bolòs 1996"
"12.02.11","Agrostio stoloniferae-Phalaridetum arundinaceae","Peris in Esteso 1992"
"12.02.12","Glycerio declinatae-Oenanthetum crocatae","Rivas-Martínez, Belmonte, Fernández-González & Sánchez-Mata in Sánchez-Mata 1989"
"12.02.13","Oenantho crocatae-Phalaridetum arundinaceae","J.A. Molina 1996"
"12.03","Nasturtion officinalis","Géhu & Géhu-Franck 1987"
"12.03.01","Apietum bermejoi","Llorens & Gil"
"12.03.02","Catabrosetum aquaticae","Rübel 1912"
"12.03.03","Glycerio declinatae-Apietum nodiflori","J.A. Molina 1996"
"12.03.04","Glycerio declinatae-Apietum repentis","J.A. Molina 1996"
"12.03.05","Glycerio fluitantis-Catabrosetum aquaticae","Loidi 1983"
"12.03.06","Helosciadietum nodiflori","Maire 1924"
"12.03.07","Rumicetum azoricae","Lüpnitz 1976"
"12.04","Magnocaricion elatae","Koch 1926"
"12.04.01","Caricetum acutiformis","Sauer 1937"
"12.04.02","Caricetum camposi-paniculatae","Molero, J. López & Rivas-Martínez 2002"
"12.04.03","Caricetum elatae","Koch 1926"
"12.04.04","Caricetum paniculatae","Wangerin 1916"
"12.04.05","Caricetum vesicariae","Chouard 1924"
"12.04.06","Eriophoro latifoliae-Caricetum paniculatae","O. Bolòs & Vives in O. Bolòs 1956"
"12.04.07","Cladietum marisci","Zobrist 1935"
"12.04.08","Cladio marisci-Caricetum hispidae","O. Bolòs 1967"
"12.04.09","Eupatorio cannabini-Caricetum elatae","Biurrun, J.A. Molina & Loidi in Biurrun 1999"
"12.04.10","Hydrocotylo-Mariscetum serrati","Rivas Goday & Mansanet 1958"
"12.04.11","Irido pseudacori-Polygonetum serrulati","O. Bolòs 1957"
