"Código","Denominación","Observaciones"
"H.02","Contaminación de aguas subterráneas (fuentes puntuales y fuentes difusas)",""
"H.02.01","Contaminación de aguas subterráneas debida a escapes provenientes de lugares contaminados",""
"H.02.02","Contaminación de aguas subterráneas debida a escapes provenientes de depósitos de vertidos",""
"H.02.03","Contaminación de aguas subterráneas relacionada con infraestructuras de la industria petrolífera",""
"H.02.04","Contaminación de aguas subterráneas por los vertidos de aguas de mina",""
"H.02.05","Contaminación de aguas subterráneas causada por vertidos sobre suelos, tales como descargas sobre sumideros",""
"H.02.06","Contaminación difusa de aguas subterráneas causada por actividades agrícolas y forestales",""
"H.02.07","Contaminación difusa de las aguas subterráneas causada por poblaciones sin alcantarillado",""
"H.02.08","Contaminación difusa de las aguas subterráneas causada por el uso urbano del suelo",""
"H.03","Contaminación de agua marina","aguas marinas y salobres"
"H.03.01","Vertidos de petróleo en el mar",""
"H.03.02","Presencia de productos químicos tóxicos en el material vertido al mar","Produciendo daños en e.g. mamíferos marinos, aves, reptiles"
"H.03.02.01","Contaminación por compuestos no sintéticos","incl. metales pesados, hidrocarburos, agua de producción"
"H.03.02.02","Contaminación por compuestos sintéticos","incl.pesticidas, antiadherentes, productos farmacéuticos"
"H.03.02.03","Contaminación radionuclear",""
"H.03.02.04","Introducción de otras sutancias (e.g. líquido, gas)",""
"H.03.03","Macro contaminación marina (i.e. bolsas de plástico, espuma de poliestireno)","e.g. ingestión accidental por parte de tortugas marinas, mamíferos y aves marinas"
"H.04","Contaminación atmosférica",""
"H.04.01","Lluvia ácida",""
"H.04.02","Enriquecimiento de nitrógeno",""
"H.04.03","Otros tipos de contaminación atmosférica",""
"H.05","Contaminación de suelos y residuos sólidos (excluyendo vertidos)",""
"H.05.01","Deshechos y residuos sólidos",""
"H.06","Malgasto energético",""
"H.06.01","Ruidos, contaminación acústica",""
"H.06.01.01","Fuente puntual o irregular de contaminación acústica",""
"H.06.01.02","Contaminación acústica difusa o permanente",""
"H.06.02","Contaminación lumínica",""
"H.06.03","Calentamiento de cuerpos de agua","límnicos y cuerpos de agua salobre o marina"
"H.06.04","Cambios electromagnéticos","e.g. en el medio marino"
"H.06.05","Exploraciones sísmicas / explosiones","incluidos muestreos geofísicos"
"H.07","Otras formas de contaminación",""
"I","Especies invasoras, especies problemáticas y modificaciones genéticas",""
"I.01","Especies invasoras y especies alóctonas","especies de plantas y animales"
"I.02","Especies nativas problemáticas",""
"I.03","Introducciones de material genético, OGM",""
"I.03.01","Contaminación genética (animales)",""
"I.03.02","Contaminación genética (plantas)",""
"J","Alteraciones del Sistema Natural",""
"J.01","Incendios y extinción de incendios",""
"J.01.01","Incendios","incendios provocados"
"J.01.02","Extinción de incendios naturales",""
"J.01.03","Ausencia de incendios",""
"J.02","Cambios inducidos en las condiciones hidráulicas ",""
"J.02.01","Vertederos, recuperación de tierra y desecación, general",""
"J.02.01.01","Polderización",""
"J.02.01.02","Recuperación de tierra, estuarios o marismas",""
"J.02.01.03","Relleno de zanjas/acequias, diques, lagunas, charcas, marismas o fosas",""
"J.02.01.04","Reforestación de zonas mineras",""
"J.02.02","Eliminación de sedimentos (barro...)",""
"J.02.02.01","Dragados/ eliminación de sedimentos límnicos",""
"J.02.02.02","Dragados en costas y estuarios",""
"J.02.03","Canalizaciones y desvíos de agua",""
"J.02.03.01","Desviaciones de agua a gran escala",""
"J.02.03.02","Canalizaciones",""
"J.02.04","Alteraciones provocados por las inundaciones",""
"J.02.04.01","Inundaciones",""
"J.02.04.02","Ausencia de inundaciones",""
"J.02.05","Alteraciones en la hidrografía, general",""
"J.02.05.01","Alteraciones en las corrientes marinas",""
"J.02.05.02","Alteraciones en las estructuras de los cursos de las aguas continentales","Directiva Marco del Agua: impermeabilización de suelos en zonas de ribera y en llanuras de inundación"
"J.02.05.03","Alteraciones en las masas de agua permanentes","e.g. creación de estanques para peces"
"J.02.05.04","Pantanos",""
"J.02.05.05","Pequeños proyectos hidroeléctricos, presas","abastecimiento de edificios aislados, molinos"
"J.02.05.06","Alteración en la exposición al oleaje",""
"J.02.06","Captaciones de agua proveniente de aguas superficiales",""
"J.02.06.01","Captaciones de agua para agricultura","e.g. regadío"
"J.02.06.02","Captaciones de agua para abastecimiento público",""
"J.02.06.03","Captaciones de agua para la industria manufacturera",""
